id,medium,publicaties,seed_url,scope_domain,categorie,provincie,regio,stad,mediumthema,contact_trefwoorden,prioriteit,catalogusbron
l1,L1 Nieuws,L1 Nieuws,https://www.l1.nl/contact/,l1.nl,regionale publieke omroep,Limburg,Provinciebreed,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
de_limburger,De Limburger,De Limburger,https://help.limburger.nl/redactie/ik-wil-in-contact-komen-met-de-afdeling-redactie,limburger.nl,regionaal dagblad,Limburg,Provinciebreed,,algemeen nieuws,,hoog,https://www.ndpnieuwsmedia.nl/nieuwsbedrijven/
de_limburger,De Limburger,De Limburger,https://www.limburger.nl/,limburger.nl,regionaal dagblad,Limburg,Provinciebreed,,algemeen nieuws,,hoog,https://www.ndpnieuwsmedia.nl/nieuwsbedrijven/
via_weekkrant,VIA Weekkrant,VIA Weekkrant,https://www.mediahuis.nl/nl/merken/via-weekkrant,mediahuis.nl,lokale weekkrant,Limburg,Provinciebreed,,algemeen nieuws,,hoog,https://www.mediahuis.nl/nl/merken/via-weekkrant
heuvelland_vandaag,Heuvelland Vandaag,Heuvelland Vandaag,https://www.heuvellandvandaag.nl/,heuvellandvandaag.nl,lokale publieke omroep,Limburg,Zuid-Limburg,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
mijnstreek_vandaag,Mijnstreek Vandaag,Mijnstreek Vandaag,https://www.mijnstreekvandaag.nl/,mijnstreekvandaag.nl,lokale publieke omroep,Limburg,Westelijke Mijnstreek,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
vml_nieuws,VML Nieuws,VML Nieuws,https://vmlnieuws.nl/over-voor-midden-limburg/,vmlnieuws.nl,lokale publieke omroep,Limburg,Midden-Limburg,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
rtv_parkstad,RTV Parkstad,RTV Parkstad,https://rtvparkstad.nl/ons-team/,rtvparkstad.nl,lokale publieke omroep,Limburg,Parkstad,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
zo_nws,ZO-NWS,ZO-NWS,https://zo-nws.nl/node/83,zo-nws.nl,lokale publieke omroep,Limburg,Parkstad,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
omroep_venlo,Omroep Venlo,Omroep Venlo,https://omroepvenlo.nl/,omroepvenlo.nl,lokale publieke omroep,Limburg,Noord-Limburg,Venlo,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
omroep_venray,Omroep Venray,Omroep Venray,https://www.omroepvenray.nl/,omroepvenray.nl,lokale publieke omroep,Limburg,Noord-Limburg,Venray,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
rtv_maastricht,RTV Maastricht,RTV Maastricht,https://rtvmaastricht.nl/,rtvmaastricht.nl,lokale publieke omroep,Limburg,Zuid-Limburg,Maastricht,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
omroep_p_m,Omroep P&M,Omroep P&M,https://omroeppenm.nl/,omroeppenm.nl,lokale publieke omroep,Limburg,Noord-Limburg,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
omroep_landgraaf,Omroep Landgraaf,Omroep Landgraaf,https://rtvparkstad.nl/,rtvparkstad.nl,lokale publieke omroep,Limburg,Parkstad,Landgraaf,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
omroep_3heuvelland,Omroep 3Heuvelland,Omroep 3Heuvelland,https://www.omroep3heuvelland.nl/,omroep3heuvelland.nl,lokale publieke omroep,Limburg,Heuvelland,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
omroep_horst,Omroep Horst aan de Maas,Omroep Horst aan de Maas,https://www.omroephorstaandemaas.nl/,omroephorstaandemaas.nl,lokale publieke omroep,Limburg,Noord-Limburg,Horst,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
maasland_radio,Maasland Radio / GennepNews,Maasland Radio / GennepNews,https://maaslandradio.nl/,maaslandradio.nl,lokale publieke omroep,Limburg,Noord-Limburg,,algemeen nieuws,,hoog,https://www.nlpo.nl/delokaleomroepinkaart/
nu_horst,NU Horst aan de Maas,NU Horst aan de Maas,https://www.nuhorstaandemaas.nl/contact,nuhorstaandemaas.nl,lokale nieuwssite,Limburg,Noord-Limburg,Horst,algemeen nieuws,,hoog,https://www.nuhorstaandemaas.nl/
parkstad_actueel,Parkstad Actueel,Parkstad Actueel,https://parkstadactueel.nl/redactie/,parkstadactueel.nl,lokale nieuwssite,Limburg,Parkstad,,algemeen nieuws,,hoog,https://parkstadactueel.nl/
parkstad_leeft,Parkstad Leeft,Parkstad Leeft,https://www.parkstadleeft.nl/,parkstadleeft.nl,lokale krant,Limburg,Parkstad,,algemeen nieuws,,hoog,https://www.parkstadleeft.nl/
tip_fm,TIP-FM,TIP-FM,https://www.tipfm.nl/,tipfm.nl,lokale nieuwssite,Limburg,Parkstad,,algemeen nieuws,,hoog,https://www.tipfm.nl/
nederweert24,Nederweert24,Nederweert24,https://www.nederweert24.nl/contact/,nederweert24.nl,lokale nieuwssite,Limburg,Midden-Limburg,,algemeen nieuws,,hoog,https://www.nederweert24.nl/contact/
weert_de_gekste,Weertdegekste,Weertdegekste,https://www.weertdegekste.nl/contact/,weertdegekste.nl,lokale nieuwssite,Limburg,Midden-Limburg,Weert,algemeen nieuws,,hoog,https://www.weertdegekste.nl/contact/
de_nieuwe_ster,De Nieuwe Ster Maastricht,De Nieuwe Ster Maastricht,https://www.denieuwestermaastricht.nl/,denieuwestermaastricht.nl,lokale nieuwssite,Limburg,Zuid-Limburg,Maastricht,algemeen nieuws,,hoog,https://www.denieuwestermaastricht.nl/
wijlimburg,WijLimburg,WijLimburg,https://www.wijlimburg.nl/,wijlimburg.nl,regionale zakelijke media,Limburg,Provinciebreed,,economie en ondernemen,,hoog,https://www.wijlimburg.nl/
chapeau,Chapeau Magazine,Chapeau Magazine,https://www.chapeaumagazine.com/,chapeaumagazine.com,regionaal magazine,Limburg,Provinciebreed,,"lifestyle, gastronomie en ondernemen",,hoog,https://www.chapeaumagazine.com/
nnp_achterhoek_nieuws,Achterhoek Nieuws,Achterhoek Nieuws,http://www.achterhoeknieuws.nl,achterhoeknieuws.nl,lokale krant of uitgever,Gelderland,Achterhoek,Lichtenvoorde,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_actief_media,Actief Media,Actief Media,http://www.actiefmedia.nl,actiefmedia.nl,lokale krant of uitgever,Friesland,Noordoost-Friesland,Burgum,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_almere_deze_week,Almere DEZE WEEK,Almere DEZE WEEK,http://www.almeredezeweek.nl,almeredezeweek.nl,lokale krant of uitgever,Flevoland,Almere en omgeving,Almere,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_arena_mediacentrum,Arena Mediacentrum,Arena Mediacentrum,http://www.arenamediacentrum.nl,arenamediacentrum.nl,lokale krant of uitgever,Noord-Brabant,Noordoost-Brabant,Schaijk,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_bar_lokale_media,BAR Lokale Media,BAR Lokale Media,http://www.barlokalemedia.nl,barlokalemedia.nl,lokale krant of uitgever,Zuid-Holland,Rotterdam-Rijnmond,Barendrecht,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_bdu_media,BDU Media,BDU Media,http://www.bdumedia.nl,bdumedia.nl,lokale krant of uitgever,Gelderland,Gelderse Vallei,Barneveld,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_uitgeverij_de_bode,Uitgeverij de Bode,Uitgeverij de Bode,http://www.uitgeverijdebode.nl,uitgeverijdebode.nl,lokale krant of uitgever,Noord-Brabant,West-Brabant,Zundert,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_brabants_centrum,Brabants Centrum,Brabants Centrum,http://www.brabantscentrum.nl,brabantscentrum.nl,lokale krant of uitgever,Noord-Brabant,Meierij,Boxtel,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_de_dalfser_marskramer,De Dalfser Marskramer,De Dalfser Marskramer,http://www.dedalfsermarskramer.nl/,dedalfsermarskramer.nl,lokale krant of uitgever,Overijssel,Vechtdal,Nieuwleusen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
nnp_brugmedia,BrugMedia,BrugMedia,http://www.brugmedia.nl/,brugmedia.nl,lokale krant of uitgever,Overijssel,IJsseldelta,Kampen,algemeen nieuws,,normaal,https://www.nnp.nl/leden
